    PID TTY      STAT   TIME COMMAND
   1456 ?        Sl     0:03 nemo-desktop
   1462 ?        Sl     0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
   1467 ?        Sl     0:00 nm-applet
   1470 ?        Sl     0:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
   1473 ?        Sl     0:00 cinnamon-killer-daemon
   1490 ?        Ss     0:00 /usr/lib/bluetooth/obexd
   1495 ?        Ssl    0:00 /usr/libexec/evolution-source-registry
   1516 ?        Ssl    0:00 /usr/libexec/evolution-calendar-factory
   1539 ?        Ssl    0:00 /usr/libexec/evolution-addressbook-factory
   1589 ?        Sl     0:00 /usr/libexec/gvfsd-trash --spawner :1.21 /org/gtk/gvfs/exec_spaw/0
   1597 ?        Ssl    0:00 /usr/libexec/gvfsd-metadata
   1603 ?        Sl     0:01 cinnamon-screensaver
   1667 ?        Sl     0:00 mintUpdate
   1700 ?        S      0:00 /usr/bin/python3 /usr/share/system-config-printer/applet.py
   1711 ?        S      0:00 dbus-launch --autolaunch b76cc7b1bbdc489e93909d2043031de8 --binary-syntax --close-stderr
   1712 ?        Ss     0:00 /usr/bin/dbus-daemon --syslog-only --fork --print-pid 5 --print-address 7 --session
   1752 ?        Sl     0:00 mintreport-tray
   1777 ?        Sl     2:32 /usr/lib/firefox/firefox
   1839 ?        Sl     0:11 /usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 1 -prefMapSize 227404 -parentBuildID 20200917005511 -appdir /usr/lib/firefox/browser 1777 true tab
   1879 ?        Sl     0:51 /usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 146 -prefMapSize 227404 -parentBuildID 20200917005511 -appdir /usr/lib/firefox/browser 1777 true tab
   1886 ?        Sl     0:28 /usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 146 -prefMapSize 227404 -parentBuildID 20200917005511 -appdir /usr/lib/firefox/browser 1777 true tab
   1900 ?        Sl     0:52 /usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -prefsLen 146 -prefMapSize 227404 -parentBuildID 20200917005511 -appdir /usr/lib/firefox/browser 1777 true tab
   1911 ?        Sl     0:25 /usr/lib/firefox/firefox -contentproc -childID 5 -isForBrowser -prefsLen 146 -prefMapSize 227404 -parentBuildID 20200917005511 -appdir /usr/lib/firefox/browser 1777 true tab
   1924 ?        Sl     0:01 /usr/lib/firefox/firefox -contentproc -childID 6 -isForBrowser -prefsLen 146 -prefMapSize 227404 -parentBuildID 20200917005511 -appdir /usr/lib/firefox/browser 1777 true tab
   1940 ?        Sl     0:01 /usr/lib/firefox/firefox -contentproc -childID 7 -isForBrowser -prefsLen 146 -prefMapSize 227404 -parentBuildID 20200917005511 -appdir /usr/lib/firefox/browser 1777 true tab
   2017 ?        Sl     0:02 /usr/lib/firefox/firefox -contentproc -childID 8 -isForBrowser -prefsLen 240 -prefMapSize 227404 -parentBuildID 20200917005511 -appdir /usr/lib/firefox/browser 1777 true tab
   2060 ?        Sl     0:02 /usr/lib/firefox/firefox -contentproc -childID 9 -isForBrowser -prefsLen 6061 -prefMapSize 227404 -parentBuildID 20200917005511 -appdir /usr/lib/firefox/browser 1777 true tab
   2129 ?        Sl     0:09 /usr/lib/firefox/firefox -contentproc -childID 10 -isForBrowser -prefsLen 6859 -prefMapSize 227404 -parentBuildID 20200917005511 -appdir /usr/lib/firefox/browser 1777 true tab
   2339 ?        Sl     0:00 /usr/libexec/gvfsd-network --spawner :1.21 /org/gtk/gvfs/exec_spaw/1
   2345 ?        Sl     0:00 /usr/libexec/gvfsd-smb-browse --spawner :1.21 /org/gtk/gvfs/exec_spaw/2
   2355 ?        Sl     0:00 /usr/libexec/gvfsd-dnssd --spawner :1.21 /org/gtk/gvfs/exec_spaw/3
   3155 ?        I      0:00 [kworker/1:0-events]
   3156 ?        I      0:00 [kworker/3:0-cgroup_destroy]
   3165 ?        S      0:00 /usr/lib/cups/notifier/dbus dbus://
   3254 ?        I      0:00 [kworker/1:3-events]
   3255 ?        I      0:00 [kworker/2:0-rcu_gp]
   3266 ?        I      0:00 [kworker/2:3-events]
   3268 ?        I      0:00 [kworker/0:2-cgroup_destroy]
   3330 ?        I      0:00 [kworker/u8:23-events_unbound]
   3361 ?        D      0:00 [kworker/u8:54+events_unbound]
   3378 ?        S      0:00 [irq/31-mei_me]
   3379 ?        S      0:00 [irq/17-mmc0]
   3380 ?        I      0:00 [kworker/3:2-events]
   3571 ?        Ssl    0:09 /usr/libexec/gnome-terminal-server
   3578 pts/0    Ss     0:00 bash
   3766 ?        I      0:00 [kworker/u8:0-events_unbound]
   3779 ?        I      0:00 [kworker/1:1-events]
   3783 ?        I      0:00 [kworker/3:1-events]
   4425 ?        Ssl    0:00 /usr/lib/packagekit/packagekitd
   4449 ?        I      0:00 [kworker/u8:2-events_unbound]
   4487 ?        Ssl    0:00 /usr/lib/NetworkManager/nm-dispatcher
   4509 pts/0    R+     0:00 ps -ax
